Time,tempo, Perror, Wtx, Tout, erro e total, reenvios, Tout total
0,0,0,1,1,0,0,0
84,4,"0,1",1,1,4,4,4
404,6,"0,2",1,1,6,6,6
1041,5,"0,3",1,1,4,4,4
1819,17,"0,4",1,1,17,17,17
3118,16,"0,5",1,1,16,16,16
4762,40,"0,6",1,1,39,39,39
7135,80,"0,7",1,1,80,80,80
10758,69,"0,8",1,1,68,68,68
17274,159,"0,9",1,1,159,159,159
1,0, 0.0,2,1,0,0,0
130,5, 0.1,2,1,5,7,7
477,7, 0.2,2,1,12,12,12
1155,5, 0.3,2,1,7,10,10
2065,11, 0.4,2,1,16,19,19
3412,13, 0.5,2,1,22,23,23
5210,20, 0.6,2,1,37,40,40
7791,29, 0.7,2,1,48,49,49
12099,81, 0.8,2,1,137,137,137
19455,100, 0.9,2,1,165,170,170
10,0, 0.0,3,1,0,0,0
158,3, 0.1,3,1,1,7,7
565,5, 0.2,3,1,8,12,12
1237,8, 0.3,3,1,14,18,18
2175,12, 0.4,3,1,27,33,33
3583,5, 0.5,3,1,10,12,12
5461,12, 0.6,3,1,25,30,30
8174,21, 0.7,3,1,56,58,58
12867,31, 0.8,3,1,79,81,81
20620,78, 0.9,3,1,228,231,231
16,0, 0.0,4,1,0,0,0
184,2, 0.1,4,1,2,7,7
626,3, 0.2,4,1,5,9,9
1329,3, 0.3,4,1,5,9,9
2331,9, 0.4,4,1,22,31,31
3727,9, 0.5,4,1,32,34,34
5659,12, 0.6,4,1,34,40,40
8521,24, 0.7,4,1,75,93,93
13438,32, 0.8,4,1,96,102,102
21728,53, 0.9,4,1,180,183,183
29,2, 0.0,5,1,0,6,6
202,4, 0.1,5,1,3,13,13
678,2, 0.2,5,1,5,7,7
1394,6, 0.3,5,1,15,27,27
2481,9, 0.4,5,1,24,33,33
3877,10, 0.5,5,1,24,37,37
5857,19, 0.6,5,1,65,79,79
8793,17, 0.7,5,1,74,78,78
14021,43, 0.8,5,1,158,174,174
22868,75, 0.9,5,1,229,245,245
44,0, 0.0,6,1,0,0,0
238,2, 0.1,6,1,3,8,8
728,3, 0.2,6,1,8,13,13
1474,3, 0.3,6,1,9,15,15
2599,3, 0.4,6,1,9,15,15
4021,7, 0.5,6,1,17,33,33
6118,11, 0.6,6,1,50,62,62
9189,20, 0.7,6,1,78,94,94
14583,52, 0.8,6,1,205,228,228
23778,78, 0.9,6,1,346,367,367
52,1, 0.0,7,1,0,0,0
255,1, 0.1,7,1,0,1,1
793,3, 0.2,7,1,8,17,17
1530,4, 0.3,7,1,8,13,13
2694,7, 0.4,7,1,21,34,34
4179,10, 0.5,7,1,30,43,43
6285,15, 0.6,7,1,65,78,78
9507,27, 0.7,7,1,94,109,109
15146,36, 0.8,7,1,191,211,211
24726,126, 0.9,7,1,777,851,851
57,1, 0.0,8,1,0,4,4
298,3, 0.1,8,1,3,10,10
851,2, 0.2,8,1,3,6,6
1598,5, 0.3,8,1,18,33,33
2796,5, 0.4,8,1,22,31,31
4308,10, 0.5,8,1,36,45,45
6545,15, 0.6,8,1,75,93,93
9785,21, 0.7,8,1,74,89,89
15811,46, 0.8,8,1,192,218,218
25852,88, 0.9,8,1,562,608,608
74,1, 0.0,9,1,0,6,6
326,2, 0.1,9,1,2,4,4
952,5, 0.2,9,1,11,19,19
1700,5, 0.3,9,1,19,38,38
2914,9, 0.4,9,1,34,55,55
4459,13, 0.5,9,1,58,85,85
6719,16, 0.6,9,1,55,72,72
10148,15, 0.7,9,1,82,102,102
16369,52, 0.8,9,1,281,342,342
26930,54, 0.9,9,1,377,405,405
76,0,0,10,1,0,0,0
360,5,"0,1",10,1,7,24,24
1007,4,"0,2",10,1,6,21,21
1766,3,"0,3",10,1,5,13,13
3035,4,"0,4",10,1,16,20,20
4597,9,"0,5",10,1,30,46,46
6939,13,"0,6",10,1,80,112,112
10420,16,"0,7",10,1,77,97,97
16911,27,"0,8",10,1,178,210,210
28119,83,"0,9",10,1,576,622,622
0,0, 0.0,1,2,0,0,0
88,10, 0.1,1,2,5,5,5
410,11, 0.2,1,2,5,5,5
1046,16, 0.3,1,2,6,8,8
1836,32, 0.4,1,2,16,16,16
3134,28, 0.5,1,2,13,14,14
4802,70, 0.6,1,2,35,35,35
7215,107, 0.7,1,2,53,53,53
10827,220, 0.8,1,2,110,110,110
17433,316, 0.9,1,2,158,158,158
1,0, 0.0,2,2,0,0,0
135,4, 0.1,2,2,1,3,3
484,12, 0.2,2,2,10,10,10
1160,6, 0.3,2,2,5,5,5
2076,17, 0.4,2,2,15,16,16
3425,14, 0.5,2,2,10,13,13
5230,26, 0.6,2,2,23,23,23
7820,56, 0.7,2,2,50,55,55
12180,68, 0.8,2,2,64,64,64
19555,220, 0.9,2,2,217,217,217
10,0, 0.0,3,2,0,0,0
161,4, 0.1,3,2,3,6,6
570,12, 0.2,3,2,10,16,16
1245,14, 0.3,3,2,12,18,18
2187,17, 0.4,3,2,18,20,20
3588,22, 0.5,3,2,27,28,28
5473,28, 0.6,3,2,34,34,34
8195,41, 0.7,3,2,43,49,49
12898,74, 0.8,3,2,108,108,108
20698,142, 0.9,3,2,193,194,194
16,1, 0.0,4,2,0,0,0
186,4, 0.1,4,2,2,5,5
629,10, 0.2,4,2,9,15,15
