2;Akamai Technologies;179;
3;DALnet IRC Network;17;
4;Limelight Networks Global;92;
5;Swisscom;31;
7;RCN;6;
8;Verizon Managed Router Service;10;
13;XO Communications;8;
22;Rackspace;11;
27;Yahoo!;154;
31;Telecom Italia Sparkle;8;
33;Cologix;7;
35;Internap;18;
72;Pacnet;22;
86;GTT Communications (AS4589);16;
91;Colt;34;
104;Global Cloud Xchange (f.k.a. FLAG Telecom);22;
118;BT;22;
120;Free SAS;7;
124;RETN;25;
136;TDS Telecom;10;
140;Verizon;3;
150;BICS;24;
182;Videotron AS5769;4;
196;Deutsche Telekom;5;
220;Atlantech Online, Inc.;1;
222;Giganews;5;
230;DataPipe;9;
231;RealConnect, Inc;1;
236;Telekom Malaysia Berhad (TM);20;
257;British Telecom GIIB;8;
261;Vodafone Global Network;25;
262;1&1 Internet;18;
286;Packet Clearing House;168;
291;Hurricane Electric;204;
307;Rogers Cable;5;
317;Shaw Cablesystems;14;
346;Liberty Global;25;
353;Xeex Communications;5;
355;HopOne Internet Corp.;8;
380;TDC A/S;17;
390;QTS Ashburn;1;
428;Frontier Communications of America (FCA);9;
430;GoDaddy;4;
432;Conversant;10;
433;Google LLC;164;
457;Netflix;130;
459;BT LatAm;5;
473;WOW!;11;
487;HGC;18;
510;Exponential Interactive, Inc.;3;
521;KPN;19;
522;BBOI (365 Data Centers);19;
530;Telewest Broadband;1;
539;Highwinds Network Group, Inc;34;
540;tw telecom;10;
541;Zayo (Abovenet Communications Inc.);25;
560;Education Networks of America, Inc.;6;
564;Lumos;2;
576;Akamai Prolexic DDoS Mitigation;29;
620;Telxius Cable;3;
627;Walmart.com;2;
663;Nexicom Inc.;11;
678;LeaseWeb Network;29;
690;Internet Initiative Japan Inc. (IIJ);20;
694;Microsoft;159;
721;TalkTalk;11;
751;TELE2;16;
763;Emirates Telecommunications Corporation (Etisalat);27;
854;OpenDNS, Inc.;33;
873;Verisign;11;
890;Cogeco Peer1;19;
893;Exponential-e Ltd;9;
937;Internet2 TransitRail;9;
940;Energy Sciences Network (ESnet);7;
979;Facebook Inc;202;
983;Mobile TeleSystems PJSC;16;
996;ICANN;4;
1045;NTT Communications (Global);15;
